step,virtual_cumulative_ns,real_cumulative_ns,virtual_delta_ns,real_delta_ns,driver_wall_delta_s
1,100000000,100007500,100000000,100007500,0.184546709
2,200000000,200049500,100000000,100042000,0.134585375
3,300000000,300037700,100000000,99988200,0.133904208
4,400000000,400078600,100000000,100040900,0.134476000
5,500000000,499988900,100000000,99910300,0.134228583
6,600000000,599965200,100000000,99976300,0.134169500
7,700000000,700102200,100000000,100137000,0.134232417
8,800000000,799986000,100000000,99883800,0.133928250
9,900000000,899969000,100000000,99983000,0.132448291
10,1000000000,1000454900,100000000,100485900,0.134478458
11,1100000000,1100057000,100000000,99602100,0.133081209
12,1200000000,1200064300,100000000,100007300,0.134165125
13,1300000000,1299937200,100000000,99872900,0.133712791
14,1400000000,1400065200,100000000,100128000,0.133914958
15,1500000000,1500013400,100000000,99948200,0.133699125
16,1600000000,1599982100,100000000,99968700,0.133489583
17,1700000000,1700001100,100000000,100019000,0.134204208
18,1800000000,1799980600,100000000,99979500,0.134586625
19,1900000000,1900066800,100000000,100086200,0.134002583
20,2000000000,2000049400,100000000,99982600,0.133544375
21,2100000000,2100049000,100000000,99999600,0.133778875
22,2200000000,2200053300,100000000,100004300,0.133616583
23,2300000000,2300175500,100000000,100122200,0.133355333
24,2400000000,2400037000,100000000,99861500,0.134187167
25,2500000000,2500043100,100000000,100006100,0.133490250
26,2600000000,2600048800,100000000,100005700,0.133613041
27,2700000000,2699983800,100000000,99935000,0.133741667
28,2800000000,2799960100,100000000,99976300,0.131809708
29,2900000000,2900058600,100000000,100098500,0.134937750
30,3000000000,2999973600,100000000,99915000,0.133866500
31,3100000000,3099949900,100000000,99976300,0.133335708
32,3200000000,3200048500,100000000,100098600,0.133853208
33,3300000000,3300017400,100000000,99968900,0.134276042
34,3400000000,3400035000,100000000,100017600,0.134059917
35,3500000000,3499962300,100000000,99927300,0.133237125
36,3600000000,3600050300,100000000,100088000,0.133399583
37,3700000000,3699987600,100000000,99937300,0.133719542
38,3800000000,3799973300,100000000,99985700,0.133569500
39,3900000000,3900026900,100000000,100053600,0.132107292
40,4000000000,4000030800,100000000,100003900,0.134174959
41,4100000000,4100001100,100000000,99970300,0.133563666
42,4200000000,4199966400,100000000,99965300,0.134427708
43,4300000000,4300437300,100000000,100470900,0.134147417
44,4400000000,4400070500,100000000,99633200,0.133441083
45,4500000000,4500045500,100000000,99975000,0.133794167
46,4600000000,4599965500,100000000,99920000,0.133660167
47,4700000000,4699973100,100000000,100007600,0.134271542
48,4800000000,4799986000,100000000,100012900,0.133393083
49,4900000000,4900039500,100000000,100053500,0.132154416
50,5000000000,5000033900,100000000,99994400,0.133770500
51,5100000000,5100049000,100000000,100015100,0.133723542
52,5200000000,5199960400,100000000,99911400,0.133304667
53,5300000000,5299989300,100000000,100028900,0.133577208
54,5400000000,5400553400,100000000,100564100,0.134077750
55,5500000000,5500043700,100000000,99490300,0.133634042
56,5600000000,5600041000,100000000,99997300,0.133956625
57,5700000000,5700041100,100000000,100000100,0.133597333
58,5800000000,5800033500,100000000,99992400,0.133384250
59,5900000000,5900610500,100000000,100577000,0.132501334
60,6000000000,6000037500,100000000,99427000,0.133433125
61,6100000000,6099989900,100000000,99952400,0.133927333
62,6200000000,6200208500,100000000,100218600,0.133638500
63,6300000000,6299968900,100000000,99760400,0.133573084
64,6400000000,6400032500,100000000,100063600,0.133802500
65,6500000000,6499961500,100000000,99929000,0.133593083
66,6600000000,6600070300,100000000,100108800,0.133540541
67,6700000000,6700041400,100000000,99971100,0.134081833
68,6800000000,6799960600,100000000,99919200,0.133848333
69,6900000000,6900049400,100000000,100088800,0.133917500
70,7000000000,7000055500,100000000,100006100,0.132926167
71,7100000000,7099953900,100000000,99898400,0.133143625
72,7200000000,7199989700,100000000,100035800,0.133476750
73,7300000000,7300010900,100000000,100021200,0.133247208
74,7400000000,7400027200,100000000,100016300,0.133503875
75,7500000000,7499951500,100000000,99924300,0.133662125
76,7600000000,7600023400,100000000,100071900,0.133857584
77,7700000000,7700039000,100000000,100015600,0.133052167
78,7800000000,7800035200,100000000,99996200,0.133599792
79,7900000000,7900019100,100000000,99983900,0.133957250
80,8000000000,8000053000,100000000,100033900,0.133824959
81,8100000000,8100028400,100000000,99975400,0.133702584
82,8200000000,8200036400,100000000,100008000,0.133724625
83,8300000000,8299970100,100000000,99933700,0.133580084
84,8400000000,8399963700,100000000,99993600,0.133727292
85,8500000000,8500000100,100000000,100036400,0.133427791
86,8600000000,8599959700,100000000,99959600,0.134061417
87,8700000000,8699948400,100000000,99988700,0.133533500
88,8800000000,8800029700,100000000,100081300,0.133750791
89,8900000000,8900047000,100000000,100017300,0.132965209
90,9000000000,8999942500,100000000,99895500,0.133831208
91,9100000000,9099972700,100000000,100030200,0.132451625
92,9200000000,9200064300,100000000,100091600,0.132279000
93,9300000000,9299989900,100000000,99925600,0.132568625
94,9400000000,9399981100,100000000,99991200,0.132069834
95,9500000000,9500077100,100000000,100096000,0.132866959
96,9600000000,9600046400,100000000,99969300,0.132788375
97,9700000000,9700007500,100000000,99961100,0.133936208
98,9800000000,9800110600,100000000,100103100,0.132543625
99,9900000000,9900078000,100000000,99967400,0.133466708
100,10000000000,10000083900,100000000,100005900,0.132342166
101,10100000000,10100123200,100000000,100039300,0.132721458
102,10200000000,10199989000,100000000,99865800,0.133837167
103,10300000000,10300023400,100000000,100034400,0.132637875
104,10400000000,10406874400,100000000,106851000,0.142219542
105,10500000000,10500076000,100000000,93201600,0.126039875
106,10600000000,10600102100,100000000,100026100,0.133293167
107,10700000000,10700008000,100000000,99905900,0.134702625
108,10800000000,10800085600,100000000,100077600,0.134722959
109,10900000000,10900059500,100000000,99973900,0.134229250
110,11000000000,10999948300,100000000,99888800,0.132185875
111,11100000000,11100319800,100000000,100371500,0.132705084
112,11200000000,11199968200,100000000,99648400,0.132380083
113,11300000000,11300063000,100000000,100094800,0.133123208
114,11400000000,11399965100,100000000,99902100,0.132362000
115,11500000000,11499947500,100000000,99982400,0.133633584
116,11600000000,11600061000,100000000,100113500,0.132623167
117,11700000000,11699995700,100000000,99934700,0.133532334
118,11800000000,11800076500,100000000,100080800,0.132224625
119,11900000000,11900796300,100000000,100719800,0.133511125
120,12000000000,12000046200,100000000,99249900,0.132564292
121,12100000000,12099951300,100000000,99905100,0.131759167
122,12200000000,12200044800,100000000,100093500,0.133934500
123,12300000000,12300104100,100000000,100059300,0.132495625
124,12400000000,12399972100,100000000,99868000,0.132928792
125,12500000000,12499956400,100000000,99984300,0.133048917
126,12600000000,12599961900,100000000,100005500,0.133979250
127,12700000000,12699954600,100000000,99992700,0.133931458
128,12800000000,12799939000,100000000,99984400,0.133791125
129,12900000000,12900025200,100000000,100086200,0.132126375
130,13000000000,13000073500,100000000,100048300,0.133515042
131,13100000000,13100019700,100000000,99946200,0.133913417
132,13200000000,13200025800,100000000,100006100,0.133634125
133,13300000000,13300030900,100000000,100005100,0.133926833
134,13400000000,13400004200,100000000,99973300,0.133694042
135,13500000000,13499969000,100000000,99964800,0.133617000
136,13600000000,13599973800,100000000,100004800,0.134087458
137,13700000000,13699957300,100000000,99983500,0.133378708
138,13800000000,13800036900,100000000,100079600,0.133676375
139,13900000000,13899965400,100000000,99928500,0.133593416
140,14000000000,14000341200,100000000,100375800,0.134411917
141,14100000000,14100029900,100000000,99688700,0.133133416
142,14200000000,14199981700,100000000,99951800,0.133573250
143,14300000000,14300023000,100000000,100041300,0.132376000
144,14400000000,14400047300,100000000,100024300,0.133517166
145,14500000000,14500036900,100000000,99989600,0.133964583
146,14600000000,14600051100,100000000,100014200,0.133795125
147,14700000000,14699986900,100000000,99935800,0.133381500
148,14800000000,14799955400,100000000,99968500,0.133745083
149,14900000000,14899985900,100000000,100030500,0.133749666
150,15000000000,14999945700,100000000,99959800,0.133418125
151,15100000000,15099959700,100000000,100014000,0.133783291
152,15200000000,15199953000,100000000,99993300,0.133687958
153,15300000000,15300031700,100000000,100078700,0.134105958
154,15400000000,15399949100,100000000,99917400,0.131814500
